_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
MS Dhoni,Dubai International Cricket Stadium,1st_innings,5,59,4,1,21,0,0,0,68,5,0,86.76470588235294,11.8,MS Dhoni,MS Dhoni
MS Dhoni,"Eden Gardens, Kolkata",1st_innings,6,141,8,8,66,1,0,0,102,1,5,138.23529411764704,141.0,MS Dhoni,MS Dhoni
MS Dhoni,"Eden Gardens, Kolkata",2nd_innings,6,139,7,8,63,1,0,0,108,5,1,128.7037037037037,27.8,MS Dhoni,MS Dhoni
MS Dhoni,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1st_innings,1,6,1,0,6,0,0,0,16,1,0,37.5,6.0,MS Dhoni,MS Dhoni
MS Dhoni,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2nd_innings,1,54,5,2,54,1,0,0,29,0,1,186.20689655172413,54.0,MS Dhoni,MS Dhoni
MS Dhoni,"Holkar Cricket Stadium, Indore",1st_innings,1,5,0,0,5,0,0,0,11,1,0,45.45454545454545,5.0,MS Dhoni,MS Dhoni
MS Dhoni,"JSCA International Stadium Complex, Ranchi",2nd_innings,2,52,2,1,26,0,0,0,45,1,1,115.55555555555554,52.0,MS Dhoni,MS Dhoni
MS Dhoni,"JSCA International Stadium Complex, Ranchi",1st_innings,3,86,4,5,57,1,0,0,64,1,2,134.375,86.0,MS Dhoni,MS Dhoni
MS Dhoni,"Kingsmead, Durban",2nd_innings,1,5,0,0,5,0,0,0,7,1,0,71.42857142857143,5.0,MS Dhoni,MS Dhoni
MS Dhoni,"Kingsmead, Durban",1st_innings,3,42,2,1,22,0,0,0,44,3,0,95.45454545454545,14.0,MS Dhoni,MS Dhoni
MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",1st_innings,7,237,23,13,70,3,0,0,137,4,3,172.992700729927,59.25,MS Dhoni,MS Dhoni
MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",2nd_innings,4,227,12,19,84,2,0,0,120,1,3,189.16666666666666,227.0,MS Dhoni,MS Dhoni
MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",1st_innings,39,1032,63,54,75,5,0,0,699,23,16,147.6394849785408,44.869565217391305,MS Dhoni,MS Dhoni
MS Dhoni,"MA Chidambaram Stadium, Chepauk, Chennai",2nd_innings,16,413,27,19,67,2,0,0,294,11,5,140.47619047619045,37.54545454545455,MS Dhoni,MS Dhoni
MS Dhoni,"Maharashtra Cricket Association Stadium, Pune",1st_innings,11,282,20,15,51,1,0,0,179,6,5,157.54189944134077,47.0,MS Dhoni,MS Dhoni
MS Dhoni,"Maharashtra Cricket Association Stadium, Pune",2nd_innings,9,220,13,10,61,1,0,0,178,4,5,123.59550561797752,55.0,MS Dhoni,MS Dhoni
MS Dhoni,"Narendra Modi Stadium, Motera, Ahmedabad",1st_innings,1,14,1,1,14,0,0,0,7,0,1,200.0,14.0,MS Dhoni,MS Dhoni
MS Dhoni,"Narendra Modi Stadium, Motera, Ahmedabad",2nd_innings,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,MS Dhoni,MS Dhoni
MS Dhoni,"Nehru Stadium, Kochi",1st_innings,1,14,1,1,14,0,0,0,13,0,1,107.6923076923077,14.0,MS Dhoni,MS Dhoni
MS Dhoni,"Newlands, Cape Town",2nd_innings,1,36,1,2,36,0,0,0,26,1,0,138.46153846153845,36.0,MS Dhoni,MS Dhoni
MS Dhoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1st_innings,4,56,4,2,43,0,0,0,37,3,1,151.35135135135135,18.666666666666668,MS Dhoni,MS Dhoni
