_id,team_played,innings_type,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Parthiv Patel,Royal Challengers Bangalore,2nd_innings,8,55,8,0,24,0,0,0,64,8,0,85.9375,6.875,PA Patel,Parthiv Patel
Parthiv Patel,Royal Challengers Bangalore,1st_innings,8,155,19,2,36,0,0,0,141,7,1,109.92907801418438,22.142857142857142,PA Patel,Parthiv Patel
Parthiv Patel,Sunrisers Hyderabad,2nd_innings,9,144,25,0,51,1,0,0,124,8,1,116.12903225806453,18.0,PA Patel,Parthiv Patel
Parthiv Patel,Sunrisers Hyderabad,1st_innings,7,59,8,1,23,0,0,0,62,7,0,95.16129032258065,8.428571428571429,PA Patel,Parthiv Patel
Asad Pathan,Chennai Super Kings,2nd_innings,1,14,2,1,14,0,0,0,5,1,0,280.0,14.0,AUK Pathan,Asad Pathan
Asad Pathan,Kochi Tuskers Kerala,2nd_innings,1,12,3,0,12,0,0,0,4,0,1,300.0,12.0,AUK Pathan,Asad Pathan
Asad Pathan,Mumbai Indians,1st_innings,1,0,0,0,0,0,0,0,2,1,0,0.0,0.0,AUK Pathan,Asad Pathan
Asad Pathan,Punjab Kings,1st_innings,2,2,0,0,2,0,0,0,4,1,1,50.0,2.0,AUK Pathan,Asad Pathan
Asad Pathan,Punjab Kings,2nd_innings,1,7,0,1,7,0,0,0,4,1,0,175.0,7.0,AUK Pathan,Asad Pathan
Asad Pathan,Sunrisers Hyderabad,2nd_innings,1,4,0,0,4,0,0,0,4,1,0,100.0,4.0,AUK Pathan,Asad Pathan
Abhishek Jhunjhunwala,Chennai Super Kings,2nd_innings,2,8,0,1,7,0,0,0,5,1,1,160.0,8.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Chennai Super Kings,1st_innings,1,11,2,0,11,0,0,0,6,1,0,183.33333333333331,11.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Delhi Capitals,1st_innings,2,57,6,1,53,1,0,0,50,1,1,113.99999999999999,57.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Delhi Capitals,2nd_innings,1,2,0,0,2,0,0,0,5,1,0,40.0,2.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Kolkata Knight Riders,1st_innings,1,45,5,0,45,0,0,0,36,1,0,125.0,45.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Mumbai Indians,2nd_innings,3,46,3,2,22,0,0,0,48,3,0,95.83333333333334,15.333333333333334,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Punjab Kings,2nd_innings,2,19,0,1,19,0,0,0,23,2,0,82.6086956521739,9.5,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Punjab Kings,1st_innings,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Royal Challengers Bangalore,1st_innings,2,18,2,0,13,0,0,0,29,2,0,62.06896551724138,9.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
Abhishek Jhunjhunwala,Sunrisers Hyderabad,1st_innings,1,11,1,0,11,0,0,0,8,1,0,137.5,11.0,AA Jhunjhunwala,Abhishek Jhunjhunwala
