_id,team_played,innings_Played,total_runs,total_fours,total_sixes,highest_runs,fiftys,hundreds,zeros,total_balls,outs,not_outs,total_strike_rate,average,player_name,player_full_name
Dhruv Jurel,Delhi Capitals,1,8,0,1,8,0,0,0,3,0,1,266.66666666666663,8.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Gujarat Titans,2,27,3,1,18,0,0,0,18,2,0,150.0,13.5,DC Jurel,Dhruv Jurel
Dhruv Jurel,Lucknow Super Giants,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Mumbai Indians,1,2,0,0,2,0,0,0,3,1,0,66.66666666666666,2.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Punjab Kings,2,42,3,3,32,0,0,0,19,0,2,221.0526315789474,42.0,DC Jurel,Dhruv Jurel
Dhruv Jurel,Royal Challengers Bangalore,2,35,2,2,34,0,0,0,23,1,1,152.17391304347828,35.0,DC Jurel,Dhruv Jurel
Ankit Rajpoot,Chennai Super Kings,1,2,0,0,2,0,0,0,4,1,0,50.0,2.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Kolkata Knight Riders,1,7,0,1,7,0,0,0,5,0,1,140.0,7.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Mumbai Indians,3,8,1,0,4,0,0,0,18,2,1,44.44444444444444,4.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Royal Challengers Bangalore,1,1,0,0,1,0,0,0,5,1,0,20.0,1.0,AS Rajpoot,Ankit Rajpoot
Ankit Rajpoot,Sunrisers Hyderabad,1,8,1,0,8,0,0,0,9,1,0,88.88888888888889,8.0,AS Rajpoot,Ankit Rajpoot
David Hussey,Chennai Super Kings,8,82,8,2,41,0,0,0,73,8,0,112.32876712328768,10.25,DJ Hussey,David Hussey
David Hussey,Delhi Capitals,7,146,8,7,40,0,0,0,139,6,1,105.03597122302158,24.333333333333332,DJ Hussey,David Hussey
David Hussey,Kochi Tuskers Kerala,1,21,2,1,21,0,0,0,15,0,1,140.0,21.0,DJ Hussey,David Hussey
David Hussey,Kolkata Knight Riders,5,90,3,1,32,0,0,0,100,5,0,90.0,18.0,DJ Hussey,David Hussey
David Hussey,Mumbai Indians,9,203,17,9,68,1,0,0,155,6,3,130.96774193548387,33.833333333333336,DJ Hussey,David Hussey
David Hussey,Pune Warriors India,3,30,1,1,18,0,0,0,33,2,1,90.9090909090909,15.0,DJ Hussey,David Hussey
David Hussey,Punjab Kings,5,98,7,5,71,1,0,0,70,4,1,140.0,24.5,DJ Hussey,David Hussey
David Hussey,Rajasthan Royals,7,125,12,3,42,0,0,0,108,7,0,115.74074074074075,17.857142857142858,DJ Hussey,David Hussey
